Fecha,Tipo_Cambio
02/01/1997,2.614
03/01/1997,2.62
06/01/1997,2.628
07/01/1997,2.635
08/01/1997,2.636
09/01/1997,2.631
10/01/1997,2.626
13/01/1997,2.626
14/01/1997,2.627
15/01/1997,2.625
16/01/1997,2.622
17/01/1997,2.621
20/01/1997,2.627
21/01/1997,2.623
22/01/1997,2.626
23/01/1997,2.631
24/01/1997,2.632
27/01/1997,2.639
28/01/1997,2.64
29/01/1997,2.639
30/01/1997,2.643
31/01/1997,2.646
03/02/1997,2.655
04/02/1997,2.651
05/02/1997,2.651
06/02/1997,2.644
07/02/1997,2.641
10/02/1997,2.645
11/02/1997,2.643
12/02/1997,2.642
13/02/1997,2.641
14/02/1997,2.636
17/02/1997,2.634
18/02/1997,2.632
19/02/1997,2.631
20/02/1997,2.63
21/02/1997,2.634
24/02/1997,2.641
25/02/1997,2.646
26/02/1997,2.649
27/02/1997,2.652
28/02/1997,2.651
03/03/1997,2.648
04/03/1997,2.639
05/03/1997,2.635
06/03/1997,2.629
07/03/1997,2.628
10/03/1997,2.628
11/03/1997,2.628
12/03/1997,2.628
13/03/1997,2.634
14/03/1997,2.635
17/03/1997,2.634
18/03/1997,2.633
19/03/1997,2.636
20/03/1997,2.644
21/03/1997,2.644
24/03/1997,2.642
25/03/1997,2.647
26/03/1997,2.644
27/03/1997,2.644
28/03/1997,2.644
31/03/1997,2.65
01/04/1997,2.66
02/04/1997,2.657
03/04/1997,2.659
04/04/1997,2.666
07/04/1997,2.671
08/04/1997,2.67
09/04/1997,2.669
10/04/1997,2.667
11/04/1997,2.662
14/04/1997,2.666
15/04/1997,2.662
16/04/1997,2.663
17/04/1997,2.664
18/04/1997,2.665
21/04/1997,2.669
22/04/1997,2.667
23/04/1997,2.665
24/04/1997,2.665
25/04/1997,2.664
28/04/1997,2.668
29/04/1997,2.668
30/04/1997,2.668
01/05/1997,2.668
02/05/1997,2.667
05/05/1997,2.671
06/05/1997,2.669
07/05/1997,2.665
08/05/1997,2.666
09/05/1997,2.669
12/05/1997,2.675
13/05/1997,2.671
14/05/1997,2.669
15/05/1997,2.664
16/05/1997,2.665
19/05/1997,2.664
20/05/1997,2.661
21/05/1997,2.666
22/05/1997,2.668
23/05/1997,2.667
26/05/1997,2.667
27/05/1997,2.666
28/05/1997,2.667
29/05/1997,2.667
30/05/1997,2.669
02/06/1997,2.672
03/06/1997,2.663
04/06/1997,2.662
05/06/1997,2.665
06/06/1997,2.663
09/06/1997,2.662
10/06/1997,2.66
11/06/1997,2.661
12/06/1997,2.661
13/06/1997,2.662
16/06/1997,2.661
17/06/1997,2.658
18/06/1997,2.656
19/06/1997,2.652
20/06/1997,2.652
23/06/1997,2.657
24/06/1997,2.657
25/06/1997,2.654
26/06/1997,2.65
27/06/1997,2.651
30/06/1997,2.656
01/07/1997,2.655
02/07/1997,2.653
03/07/1997,2.65
04/07/1997,2.652
07/07/1997,2.653
08/07/1997,2.654
09/07/1997,2.657
10/07/1997,2.656
11/07/1997,2.652
14/07/1997,2.652
15/07/1997,2.651
16/07/1997,2.653
17/07/1997,2.659
18/07/1997,2.659
21/07/1997,2.653
22/07/1997,2.653
